,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
(a-z),(a-z),(0-10),(Very Low-Very High),(1-191),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),,(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-10),(0-50),(0-100%),(Yes/No),()
Comoros,COM,3.3,Medium,94,-147.7,1.1,2.0,0.1,0.0,1.9,1.4,2.9,0.0,5.7,0.1,0.2,0.0,4.8,7.0,7.7,5.1,7.3,1.4,0.0,2.0,3.8,0.0,4.2,2.7,7.1,8.1,7.8,8.4,5.9,5.1,5.8,6.9,4,8%,,-27.89
Congo,COG,5.0,High,36,-142.7,3.0,3.2,0.1,7.5,0.0,0.0,2.1,0.6,6.8,2.8,4.0,0.0,5.7,5.5,7.1,6.8,0.9,5.8,6.3,6.0,3.0,1.5,8.2,5.3,7.5,8.0,x,8.0,7.0,5.8,8.0,7.1,1,2%,,-26.81
Congo DR,COD,7.7,Very High,6,-143.8,7.2,4.0,4.2,7.0,0.0,0.0,1.0,2.3,8.3,9.0,10.0,9.0,7.9,6.7,8.9,6.2,2.6,8.8,9.4,5.2,5.6,10.0,8.4,8.0,8.0,7.9,7.5,8.2,8.1,6.8,9.6,7.8,2,4%,YES,-27.07
Costa Rica,CRI,3.2,Medium,97,-152.6,3.1,5.3,9.1,2.4,8.3,1.3,4.1,1.0,4.9,0.1,0.1,0.0,4.3,2.1,1.5,4.7,0.6,6.0,8.3,0.3,0.6,3.8,1.7,1.7,2.4,3.1,1.5,4.6,1.7,1.2,1.9,2.1,4,8%,,-28.81
Côte d'Ivoire,CIV,4.6,Medium,47,-142.8,2.2,2.9,0.1,4.7,0.9,0.0,2.1,0.6,7.7,1.4,2.0,0.0,6.5,5.8,8.0,5.7,1.3,7.1,9.1,4.9,4.5,0.0,1.7,3.0,6.6,7.0,7.8,6.2,6.1,3.1,7.4,7.9,0,0%,,-26.78
Croatia,HRV,2.4,Low,143,-160.4,2.4,4.2,5.6,6.8,5.8,0.0,5.0,1.4,2.1,0.1,0.1,0.0,2.0,1.0,0.8,1.2,1.3,2.9,4.7,0.1,0.4,0.2,1.3,0.5,3.0,4.4,4.4,4.4,1.2,1.7,0.2,1.6,9,18%,,-30.52
Cuba,CUB,2.8,Low,124,-158.4,2.8,4.8,5.0,0.5,3.2,8.0,5.7,3.3,4.9,0.1,0.1,0.0,2.7,2.3,2.2,4.0,0.8,3.0,0.0,0.4,0.5,10.0,1.3,5.2,2.9,4.0,2.5,5.5,1.6,2.5,1.8,0.5,8,16%,,-30.11
Cyprus,CYP,2.6,Low,132,-165.6,1.6,3.0,6.9,0.0,4.0,0.0,2.9,2.1,2.9,0.0,0.0,0.0,4.2,0.6,0.1,1.7,0.3,6.6,9.2,0.1,0.2,0.0,2.1,0.6,2.6,4.2,x,4.2,0.7,0.9,0.0,1.2,10,20%,,-31.56
Czech Republic,CZE,1.8,Very Low,172,-170.2,0.9,1.6,0.5,5.7,0.0,0.0,0.0,1.6,1.9,0.1,0.1,0.0,3.5,0.4,0.2,1.0,0.3,5.7,8.4,0.1,0.2,0.0,1.1,0.4,1.9,3.1,2.5,3.6,0.6,1.4,0.0,0.3,12,24%,,-32.51
Denmark,DNK,1.4,Very Low,184,-168.9,1.1,2.0,0.1,0.0,0.0,0.0,7.1,1.9,1.8,0.1,0.1,0.0,2.2,0.1,0.0,0.4,0.1,3.9,6.3,0.1,0.3,0.0,1.0,0.4,1.2,1.9,2.7,1.0,0.5,1.3,0.0,0.2,11,22%,,-32.21
Djibouti,DJI,4.9,High,37,-158.4,3.2,4.7,5.4,0.0,4.9,0.0,4.3,8.5,5.1,1.3,1.8,0.0,5.9,6.1,7.8,4.1,4.7,5.7,6.0,1.9,3.9,8.5,4.7,5.3,6.1,6.2,5.5,6.8,6.0,4.9,5.8,7.3,8,16%,,-30.09
Dominica,DMA,3.0,Low,110,-192.4,2.1,3.8,3.8,0.0,5.5,7.8,2.0,0.0,3.8,0.0,0.0,0.0,3.1,4.9,3.6,x,7.4,0.8,0.0,0.2,2.8,0.0,2.5,1.5,4.1,4.9,x,4.9,3.1,2.6,1.0,5.6,19,37%,,-36.83
Dominican Republic,DOM,4.1,Medium,65,-152.9,4.0,6.5,9.1,2.3,5.1,10.0,4.8,0.0,5.7,0.2,0.3,0.0,4.2,3.1,3.1,4.6,1.6,5.1,6.3,1.4,1.6,7.2,1.6,3.5,4.2,5.3,4.6,5.9,3.0,2.1,2.0,4.9,4,8%,,-28.87
Ecuador,ECU,4.7,Medium,45,-154.0,5.7,6.5,9.5,6.5,9.0,0.0,4.9,3.4,5.4,4.8,6.9,0.0,4.7,3.1,3.3,5.0,0.9,6.0,8.3,0.4,1.1,1.5,4.1,1.9,3.9,4.5,3.0,5.9,3.3,2.3,3.1,4.5,5,10%,,-29.12
Egypt,EGY,4.9,High,37,-147.9,6.5,6.1,4.6,9.9,5.9,0.0,9.0,0.0,3.2,6.9,9.9,0.0,3.9,3.5,4.1,3.8,1.8,4.2,6.4,0.2,1.6,0.0,1.5,0.9,4.6,5.4,4.2,6.5,3.6,3.3,3.2,4.3,2,4%,,-27.83
El Salvador,SLV,4.0,Medium,73,-151.1,3.5,5.6,9.2,3.5,7.6,1.3,4.3,3.2,5.4,0.7,1.0,0.0,4.1,4.5,5.1,4.3,3.6,3.7,5.6,1.1,1.1,0.1,2.4,1.2,4.3,5.7,5.2,6.2,2.5,1.8,2.4,3.4,4,8%,,-28.54
Equatorial Guinea,GNQ,3.1,Low,104,-158.4,1.3,2.3,0.1,2.0,0.0,0.0,1.9,3.3,6.4,0.1,0.2,0.0,3.3,4.1,6.1,x,0.1,2.5,0.0,6.2,3.6,0.0,6.1,4.4,7.0,7.8,x,7.8,6.0,4.3,6.6,7.1,10,20%,,-30.20
Eritrea,ERI,6.0,High,24,-164.3,7.0,3.1,3.5,1.3,0.0,0.0,4.0,4.4,6.3,9.0,0.5,9.0,4.1,5.7,8.2,x,0.8,2.1,0.0,1.0,5.9,0.0,6.2,3.8,7.7,8.1,x,8.1,7.3,6.2,9.7,6.1,11,22%,YES,-31.35
Estonia,EST,1.6,Very Low,179,-165.1,0.8,1.5,0.1,5.5,0.0,0.0,2.1,0.0,1.4,0.0,0.0,0.0,3.5,0.5,0.2,1.4,0.2,5.6,8.2,0.5,0.2,0.0,1.6,0.6,1.5,2.4,x,2.4,0.6,0.9,0.1,0.9,10,20%,,-31.46
Eswatini,SWZ,3.3,Medium,94,-144.1,1.5,1.8,0.1,1.8,0.0,0.2,0.0,4.8,3.9,1.2,1.7,0.0,4.5,5.8,6.6,7.3,2.5,2.8,2.4,5.0,2.7,0.0,3.9,3.1,5.3,5.6,4.4,6.8,4.9,3.0,5.2,6.4,0,0%,,-27.01
Ethiopia,ETH,7.0,Very High,12,-142.8,7.2,3.7,4.6,5.1,0.0,0.0,0.0,4.8,7.4,9.0,10.0,9.0,7.2,6.1,8.9,4.7,1.9,8.0,8.9,2.8,4.2,10.0,5.4,6.7,6.7,4.6,2.9,6.2,8.1,7.1,9.8,7.4,0,0%,YES,-26.78
Fiji,FJI,2.9,Low,116,-156.1,2.8,4.9,3.1,0.0,7.1,6.9,7.1,3.1,3.6,0.0,0.0,0.0,3.2,4.2,3.1,2.8,7.7,2.0,0.0,4.0,1.6,5.9,2.3,3.6,2.7,2.2,0.1,4.3,3.1,1.8,3.1,4.3,6,12%,,-29.57
Finland,FIN,1.5,Very Low,182,-170.4,1.3,2.3,0.1,6.2,0.0,0.0,5.3,0.6,1.3,0.1,0.1,0.0,2.2,0.2,0.0,0.5,0.1,3.9,6.2,0.1,0.2,0.0,1.2,0.4,1.3,1.7,2.2,1.2,0.8,1.4,0.5,0.5,12,24%,,-32.54
France,FRA,2.4,Low,143,-165.8,2.3,3.9,2.8,7.5,2.5,0.0,7.4,1.5,1.6,0.4,0.6,0.0,3.0,0.4,0.0,1.3,0.2,5.0,7.6,0.2,0.3,0.1,0.6,0.3,1.9,2.8,2.9,2.7,1.0,2.0,0.1,0.8,10,20%,,-31.59
