,COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Recentness data (average years),Countries in HVC = _NO,Countries in HVC = _YES
25,Brunei Darussalam,BRN,2.4,Low,143.0,-174.6,1.3,2.5,0.1,4.9,1.9,0.0,3.3,1.6,4.3,0.0,0.0,0.0,2.9,1.6,1.4,3.5,0.0,4.1,6.3,0.6,1.5,0.0,1.7,1.0,3.5,4.6,6.0,3.1,2.1,1.0,2.5,2.9,14.0,0.27,-33.44,1,0
26,Bulgaria,BGR,2.7,Low,128.0,-160.2,1.8,3.3,6.2,5.1,0.0,0.0,2.9,1.9,4.6,0.1,0.1,0.0,3.6,2.0,2.1,3.4,0.5,5.0,7.5,0.2,0.5,0.1,2.1,0.8,3.1,4.4,3.2,5.5,1.5,1.8,1.4,1.3,8.0,0.16,-30.45,1,0
27,Burkina Faso,BFA,7.0,Very High,12.0,-144.5,6.9,2.6,0.1,2.2,0.0,0.0,0.0,5.0,7.2,9.0,9.5,9.0,7.9,7.5,9.6,7.0,3.8,8.3,9.8,3.2,5.2,7.5,3.9,5.2,6.4,4.7,3.2,6.2,7.7,7.3,9.1,6.6,0.0,0.0,-27.1,0,1
28,Burundi,BDI,5.6,High,26.0,-142.3,4.1,3.0,4.5,2.5,0.0,0.0,0.0,4.0,6.9,5.0,7.2,0.0,6.4,7.2,9.6,5.1,4.3,5.4,6.2,3.3,5.1,0.1,7.3,4.4,6.7,6.3,4.6,8.0,7.1,7.6,7.1,6.7,2.0,0.04,-26.78,1,0
29,Cabo Verde,CPV,2.4,Low,143.0,-165.9,0.9,1.6,0.1,0.0,0.0,0.0,0.0,4.9,4.6,0.1,0.1,0.0,3.9,5.2,4.8,4.6,6.5,2.2,1.1,1.2,1.0,3.8,5.5,3.1,3.7,4.0,3.4,4.5,3.4,2.6,2.9,4.7,10.0,0.2,-31.6,1,0
30,Cambodia,KHM,4.3,Medium,58.0,-152.4,2.7,4.6,0.1,8.7,2.9,1.8,3.8,3.9,6.5,0.3,0.4,0.0,4.8,5.6,6.5,6.1,3.3,3.9,5.5,2.3,2.8,0.6,1.8,1.9,6.0,6.8,6.8,6.7,5.0,3.3,5.8,5.8,4.0,0.08,-28.78,1,0
31,Cameroon,CMR,6.6,High,19.0,-142.1,7.2,3.8,0.1,6.6,0.0,0.0,2.6,4.2,7.9,9.0,9.7,9.0,6.8,5.9,7.8,6.5,1.5,7.5,9.3,4.5,3.9,4.5,2.0,3.8,5.9,4.9,2.6,7.1,6.7,4.9,7.5,7.8,0.0,0.0,-26.64,0,1
32,Canada,CAN,2.4,Low,143.0,-173.3,2.5,4.3,4.7,7.1,5.7,2.3,5.4,1.4,1.6,0.1,0.1,0.0,2.4,0.4,0.0,1.4,0.0,4.1,6.6,0.1,0.4,0.1,0.3,0.2,2.4,2.6,3.0,2.2,2.2,2.1,3.0,1.5,13.0,0.25,-33.15,1,0
33,Central African Republic,CAF,8.7,Very High,1.0,-189.9,8.1,3.2,0.1,6.0,0.0,0.0,0.0,2.2,8.2,10.0,9.8,10.0,9.1,8.9,9.9,9.0,6.7,9.2,9.5,8.1,6.3,10.0,9.4,8.8,8.8,8.0,4.227814569536424,8.0,9.4,8.8,9.7,9.7,6.0,0.12,-28.78,0,1
34,Chad,TCD,7.8,Very High,5.0,-148.8,7.1,3.6,0.1,8.1,0.0,0.0,0.0,3.8,7.0,9.0,9.8,9.0,7.8,7.1,10.0,5.9,2.6,8.3,9.1,3.4,6.2,9.2,7.6,7.1,8.7,8.0,4.227814569536424,8.0,9.2,8.6,9.9,9.2,3.0,0.06,-28.04,0,1
